Game number, Team_1
1, 0.0
2, 4.581759862501656
3, 18.943670070563584
4, 17.243124233785096
5, 15.498778683456763
6, 44.222731177749054
7, 32.061969390057214
8, 43.12066843121624
9, 15.167767599100543
10, 0.0
11, 20.508490390196727
12, 24.64521838477178
13, 0.0
14, 0.0
15, 30.407679300489903
16, 16.068446625899327
17, 0.0
18, 9.706893739662448
19, 26.030959842393244
20, 17.974449371545845
21, 14.887549352700262
22, 18.917036163898985
23, 36.35938627916224
24, 27.54562160365849
25, 0.0
26, 32.42635209523256
27, 0
28, 17.73372533746135
29, 0
30, 27.228041112305235
31, 0.0
32, 0.0
33, 0
34, 0
35, 31.22568454956204
36, 0
37, 12.57606564369047
38, 0.0
39, 20.038981038252416
40, 0.0
41, 24.638752115462424
42, 0.0
43, 0.0
44, 21.026467521059814
45, 8.64423580227637
46, 44.42719566864477
47, 0.0
48, 16.670093614013823
49, 36.23735020991302
50, 0
51, 0.0
52, 15.957519596679575
53, 25.998688502706116
54, 26.94267353273254
55, 0
56, 75.77623237441452
57, 12.24815743120719
58, 0.0
59, 10.70964559749433
60, 56.855812056879984
61, 5.65110503895292
62, 0
63, 15.559299068541705
64, 0.0
65, 0
66, 0.0
67, 0
68, 25.153257720180903
69, 0.0
70, 0.0
71, 35.92999463655154
72, 22.115473346163654
73, 22.294523478042677
74, 0
75, 0.0
76, 24.490396459253276
77, 16.115323887327534
78, 0
79, 7.715694193066113
80, 23.5340462904625
81, 0
82, 0.0
83, 19.758748387992668
84, 0.0
85, 0.0
86, 22.620948410683994
87, 0.0
88, 0.0
89, 18.087187821325017
90, 0
91, 63.57995971469692
92, 0
93, 10.631653398336113
94, 72.80044968902378
95, 44.67400135670759
96, 46.38961142466007
97, 8.47988121633847
98, 0.0
99, 13.0139985033029
100, 0.0
101, 24.9265425987399
102, 16.66624250765888
103, 14.571984394821072
104, 63.38369649320751
105, 25.2339812510411
106, 22.267666281253028
107, 6.212944083595403
108, 0.0
109, 25.59672527264678
110, 0.0
111, 17.789230149364073
112, 0
113, 0.0
114, 20.25560125831467
115, 0
116, 7.56959233338236
117, 0.0
118, 0.0
119, 0.0
120, 0.0
121, 0
122, 11.207828627039717
123, 0.0
124, 36.682173188262965
125, 0
126, 23.9081847259703
127, 16.871930213924955
128, 77.52326631125749
129, 14.05154161806854
130, 0
131, 54.10093035807924
132, 21.0283195774296
133, 0
134, 0.0
135, 8.651935187234386
136, 15.24911644668886
137, 66.53732225694954
138, 0.0
139, 27.78234445329045
140, 14.787892485640867
141, 33.260334073222424
142, 44.318963793634396
143, 0
144, 32.18253120192192
145, 33.58392755747472
146, 12.096273595663973
147, 30.336908133336323
148, 11.330220014996257
149, 22.35425807267052
150, 51.81600646023064
151, 0
152, 17.86194645449791
153, 6.612621122277233
154, 6.406310746187884
155, 14.338498480956048
156, 26.12381174981975
157, 18.539611185182366
158, 0.0
159, 16.27358699968886
160, 0.0
161, 35.53743252482281
162, 0
163, 0.0
164, 11.591329141715917
165, 0
166, 60.52351166549252
167, 0.0
168, 25.358847254693416
169, 30.882252575978775
170, 0.0
171, 15.108792423146568
172, 14.960901618057576
173, 9.85458552571751
174, 20.764466048815592
175, 0.0
176, 0.0
177, 18.32858651967024
178, 16.06199744129202
179, 0.0
180, 25.51299727222829
181, 0.0
182, 0.0
183, 8.782144487930822
184, 14.748392929126922
185, 40.34578805640577
186, 56.97437523805886
187, 39.66816584725038
188, 30.786392936639416
189, 15.200578219773675
190, 24.610095896253924
191, 25.807881444216108
192, 52.75519090500653
193, 20.273145109830836
194, 0.0
195, 24.370108705113168
196, 0
197, 19.442028399142785
198, 71.78424601822631
199, 20.334146174149154
200, 17.154560178584745
